id,answer_1,answer_2,answer_3,result
f9db2465af3908606adace9948d792b0a382fa8b407cbe67cc9f75287dd9070f,90,физика,решение задач,bb654baf679a36186ace7bbaf1dc68698c72f9e2b55bca50da832c66f19317c0
62627a5326665dbb45bd3318ad02d4af90d1251ff8a5bf6bc969ab8b4f8fb757,100,математика,решение задач,ad0871f508d6701111aeac18f34b4afcad6e2b295f23167102e423c78bba551f
f70fa8ac28571432a0ffafa44cb687ea87bfbb3bb2afdd0e1f561aa3186f1d8e,10,информатика,проектная деятельность,41ada4cb535596507e434ca78c418d5e44c90f4ae4c9a2b0cbaca97a57875f37
692e56bb61adc4d144e494fb66f14f05be49725c15cfc593ecd4a892fa503d5f,60,математика,решение задач,5bbc9e2cf2c640f64204f0ba4b70d798faf5d5d1c0cc41afec9d542b8a64dec2
0317b9877b64da8447e90d02e850e0d0d22cdf7c0eeab69dff9137124fd0db3c,90,информатика,решение задач,ad0871f508d6701111aeac18f34b4afcad6e2b295f23167102e423c78bba551f
b72cb045f335222ddda5ffb4b28f083785b9dd74ccf34cf6b2769b96aea1428e,10,математика,решение задач,ad0871f508d6701111aeac18f34b4afcad6e2b295f23167102e423c78bba551f
d7f77b568ccffb1edb33aafef7279e11c3cb386172a552b09860c4bb50a9288f,30,математика,решение задач,ad0871f508d6701111aeac18f34b4afcad6e2b295f23167102e423c78bba551f
a9f6da7fd21cf6375bf64342fc22c731efb0db3b6b13876fa0ed88d081de1fae,60,математика,решение задач,ad0871f508d6701111aeac18f34b4afcad6e2b295f23167102e423c78bba551f
fb8bdd1d48beb5b6bd7773ad7e6e686fae34e19a2d52c0ced8546d77e369b21a,90,информатика,решение задач,bb654baf679a36186ace7bbaf1dc68698c72f9e2b55bca50da832c66f19317c0
4b4b0fe2b2e4e13d144217acf6d417d97d2b2490063c1fd0407fbfbd6833348c,40,информатика,решение задач,35d46d5d4c647eda4106dec89832ad158d5e7b45e0e106436ff35b53ca015cf0
43fb339381dcbbd25d1b1f285cfd313abe36911ea41e7a7dad8fb39de023479f,90,физика,решение задач,5bbc9e2cf2c640f64204f0ba4b70d798faf5d5d1c0cc41afec9d542b8a64dec2
773841e34992b00efa23d5b70712754b51fc2b232bdb23045f2ad03264d92d8e,90,математика,решение задач,10d5557d9effeefeb369ed794b14389e3c6e66701dab1769c9afb766f1f089a8
f793b4fc4352e1e6af6e035334f50dbc54a3b21a108ad1b03aad2c477b091440,80,физика,решение задач,ad0871f508d6701111aeac18f34b4afcad6e2b295f23167102e423c78bba551f
f8057e0f640d9fa0807c28bc04239d77e466130cc33573fc85b14692072ce197,80,физика,решение задач,ad0871f508d6701111aeac18f34b4afcad6e2b295f23167102e423c78bba551f
41d219caae31531fe3b430e9ca2645afe79ae211d79e5ed8cac3f6bfacdc1ebe,90,математика,решение задач,b4bb1baf4db4ce975b71f4d06aa23eee9770f23d18ea1a344059409ee5dbaa09
268fe48b9d4b35a0ddb9d5e701634426b94fe0fd9859e5294e2012b1f4088552,90,информатика,решение задач,ad0871f508d6701111aeac18f34b4afcad6e2b295f23167102e423c78bba551f
